	camera_id	camera_location	bearing	street_name	LG_name	CWY
380	109212	POINT (115.827865 -31.842285)	34.421241060929106	Seaton Pl	Wanneroo (C)	Single
382	110052	POINT (115.847278 -31.894152)	0.7824430341836432	Western Av	Stirling (C)	Single
385	110574	POINT (115.948827 -31.945045)	50.49430594496744	Dayana Ct	Belmont (C)	Single
386	110635	POINT (115.861107 -32.062888)	346.51158792683447	Darley Cir	Melville (C)	Single
387	110978	POINT (115.8968 -31.952755)	132.6516466876608	Balbuk Wy	Victoria Park (T)	Single
388	111574	POINT (115.70839 -31.660087)	169.9579763645562	Hardwood Turn	Wanneroo (C)	Single
389	111841	POINT (115.840805 -31.868581)	0.0	Wychcross St	Stirling (C)	Single
390	112250	POINT (115.846316 -31.857216)	129.75236344976372	Wisborough Cr	Stirling (C)	Single
392	113241	POINT (115.758216 -32.01901)	341.9276778475344	Platt Cl	Mosman Park (T)	Single
394	113953	POINT (115.843724 -31.83238)	105.85936626631383	Windarra Hts	Wanneroo (C)	Single
395	114269	POINT (115.849615 -31.88048)	58.22974260444971	Slindon St	Stirling (C)	Single
396	114454	POINT (115.654218 -31.545088)	39.17365797279359	Bunker Cr	Wanneroo (C)	Single
397	114527	POINT (115.801583 -31.9948)	0.05758367887881377	Curlew Rd	Nedlands (C)	Single
398	115145	POINT (115.844109 -32.157988)	219.4631176391331	Charnley Bend	Cockburn (C)	Single
399	115710	POINT (115.855041 -32.153339)	161.77704266685566	Covington Loop	Cockburn (C)	Single
400	116203	POINT (115.768121 -32.116148)	105.18928673594854	Amity Bvd	Cockburn (C)	Single
401	116269	POINT (115.892187 -32.175037)	121.65716630168782	Wolfe Rd	Cockburn (C)	Single
402	116449	POINT (115.806237 -31.701397)	326.6502994407231	Celadon Loop	Wanneroo (C)	Single
404	116741	POINT (115.955406 -31.894976)	333.43494882168835	Seventh Av	Bassendean (T)	Single
405	116849	POINT (115.944919 -31.912295)	197.13510555894496	Kathleen St	Bassendean (T)	Single
406	119055	POINT (115.944329 -31.933872)	49.03259054316152	First St	Belmont (C)	Single
407	119370	POINT (115.811265 -31.758783)	295.83675422412944	Santa Wy	Wanneroo (C)	Single
409	119996	POINT (115.850023 -31.971519)	72.56512530521337	Ferry St	South Perth (C)	Single
410	120461	POINT (115.827461 -31.80939)	350.366339249702	Sovrano Av	Wanneroo (C)	Single
411	120860	POINT (115.865161 -32.018975)	46.80116051881117	Isabella Cr	South Perth (C)	Single
412	121651	POINT (115.712081 -31.672397)	268.5996181507267	Palermo Ct	Wanneroo (C)	Single
413	121788	POINT (115.881942 -32.029845)	160.01689347364254	Beatrice Av	Canning (C)	Single
414	121804	POINT (115.897566 -32.035105)	107.71579270480919	Amstey St	Canning (C)	Single
415	121833	POINT (115.700134 -31.674351)	228.52805594717302	Simpson St	Wanneroo (C)	Single
416	121907	POINT (115.693207 -31.652596)	264.36024571307223	Portsmouth St	Wanneroo (C)	Single
417	122112	POINT (115.875714 -32.016334)	246.31124842647176	Griffin Cr	South Perth (C)	Single
418	122629	POINT (115.829882 -32.025867)	278.21278018966734	Cunningham St	Melville (C)	Single
421	122885	POINT (115.766901 -31.907181)	181.04778877742294	Colin Rd	Stirling (C)	Single
422	122917	POINT (115.857187 -31.874776)	333.31989721420945	Coralberry Cr	Stirling (C)	Single
423	123463	POINT (115.600203 -31.505826)	87.0454201769628	Mitchell Pl	Wanneroo (C)	Single
424	123471	POINT (115.80298 -31.762585)	240.92358555643426	Kundilli Wy	Wanneroo (C)	Single
425	123507	POINT (115.798427 -31.700251)	355.3225821382941	Joseph Banks Bvd	Wanneroo (C)	Right
426	124033	POINT (115.807945 -31.704021)	43.256753514319826	Grasstree Bend	Wanneroo (C)	Single
427	124267	POINT (115.799941 -32.027641)	122.15229514038901	Davidson Rd	Melville (C)	Single
428	124849	POINT (115.733229 -31.685775)	54.665529209439	Lantern Wy	Wanneroo (C)	Single
429	126123	POINT (115.818967 -31.773542)	50.042451073888515	Chartwell Bend	Wanneroo (C)	Single
431	126505	POINT (115.773723 -31.853301)	140.3767054325608	Chelmorton Loop	Stirling (C)	Single
432	127486	POINT (115.757696 -32.015641)	213.95905981773208	Kinnear Rmbl	Mosman Park (T)	Single
433	128389	POINT (115.856309 -32.044425)	354.2894068647173	Grasmere Ct	Melville (C)	Single
435	129027	POINT (115.85073 -31.830676)	143.4927290266835	Paloma Loop	Wanneroo (C)	Single
437	129525	POINT (115.76828 -31.985021)	0.7021190136381392	Seaview St	Cottesloe (T)	Single
438	129999	POINT (116.148667 -31.871572)	179.55585556801032	Vista Dr	Mundaring	Single
442	131206	POINT (115.855321 -32.146731)	358.1816970358897	Montgomery Dr	Cockburn (C)	Single
443	131473	POINT (115.822287 -32.110678)	116.47882734545021	Grassbird Loop	Cockburn (C)	Single
444	132604	POINT (115.814235 -31.867271)	90.37588069614378	Campsbourne St	Stirling (C)	Single
445	133161	POINT (115.85462 -32.05458)	292.3406479614973	Orbell Wy	Melville (C)	Single
446	133723	POINT (115.853864 -31.87346)	90.04483236907288	Robertsbridge Rd	Stirling (C)	Single
447	133892	POINT (115.821421 -31.907002)	326.97613244253387	Gordon Rd West	Stirling (C)	Single
448	134272	POINT (115.8323 -32.009144)	217.69424046570168	Matheson Rd	Melville (C)	Single
449	134522	POINT (115.849354 -31.905673)	90.54424405788558	Wellington Pde	Stirling (C)	Single
450	134753	POINT (115.822984 -31.857561)	240.73361263626185	Vickers St	Stirling (C)	Single
451	134987	POINT (115.776928 -31.706867)	328.93874648901124	Kerlin Wy	Wanneroo (C)	Single
452	135063	POINT (115.734708 -31.687952)	55.94779692923265	Cagan L	Wanneroo (C)	Single
453	135508	POINT (115.889528 -32.04657)	291.68577739450006	Holly Pl	Canning (C)	Single
454	135980	POINT (115.919293 -32.013406)	51.05419189416102	Leach Hwy	Canning (C)	Single
455	136802	POINT (115.731376 -31.67474)	141.4347391481051	Lenswood Rtt	Wanneroo (C)	Single
456	137032	POINT (115.840318 -31.829309)	43.48895096122749	Highclere Bvd	Wanneroo (C)	Single
457	137711	POINT (115.822584 -31.808503)	348.52237303883066	Eastcliff St	Wanneroo (C)	Single
458	137982	POINT (115.821964 -31.874812)	15.732004790195276	Langworth Rd	Stirling (C)	Single
459	138087	POINT (115.707188 -31.640445)	359.91448397489074	Cleish L	Wanneroo (C)	Single
460	138207	POINT (115.845125 -31.955317)	204.9439052558218	Bellevue Tce	Perth (C)	Single
461	138397	POINT (115.704964 -31.669131)	338.6432273259205	Southsea Rd	Wanneroo (C)	Single
462	139123	POINT (115.756727 -32.024193)	329.73411432426184	Foundry Ct	Fremantle (C)	Single
463	139380	POINT (115.816594 -31.916046)	304.804011756183	Hasler Rd	Stirling (C)	Single
465	140174	POINT (115.808255 -31.888682)	280.55518143219746	Civic Pl	Stirling (C)	Single
466	140349	POINT (115.875217 -32.014661)	307.07307331679846	Bradshaw Cr	South Perth (C)	Single
467	140864	POINT (115.876577 -31.951685)	83.43730148964653	Brook St	Perth (C)	Right
468	141114	POINT (115.832276 -31.916492)	194.30027744477644	Egina St	Vincent (C)	Single
469	141647	POINT (115.79774 -31.752188)	148.15545530992983	Manbari Cr	Wanneroo (C)	Single
470	141662	POINT (115.8575 -31.832084)	358.21935755427427	Lancer Wy	Wanneroo (C)	Single
471	142688	POINT (115.720575 -31.672239)	93.89167629397764	Willoughby Rtt	Wanneroo (C)	Single
472	142834	POINT (115.781653 -31.708048)	99.59636957588373	Staunton Vale	Wanneroo (C)	Single
475	143476	POINT (115.881669 -32.059253)	173.1251819713765	Castlereagh Cl	Canning (C)	Single
476	143520	POINT (115.782341 -31.71746)	333.8384335569713	Sandilands Cct	Wanneroo (C)	Single
478	144030	POINT (115.850511 -32.079804)	331.30509562266974	Tawson Pl	Melville (C)	Single
479	144101	POINT (115.862059 -31.921174)	59.071808813554185	Inverness Cr	Stirling (C)	Single
480	144107	POINT (115.862545 -31.906545)	359.63545064893145	Dryden St	Stirling (C)	Single
481	144526	POINT (115.912163 -32.092287)	242.9044475076442	Connaught Gdns	Canning (C)	Single
482	144957	POINT (115.712192 -31.677836)	133.36342296236808	Mulgrave Loop	Wanneroo (C)	Single
483	145037	POINT (115.837402 -31.82756)	43.69210439838287	Le Grand Gdns	Wanneroo (C)	Single
485	145577	POINT (115.921649 -32.016827)	249.50827181162583	Fern Rd	Canning (C)	Single
487	145981	POINT (115.705864 -31.651298)	87.90109406677976	Marchwood Bvd	Wanneroo (C)	Single
489	146524	POINT (115.694702 -31.636651)	163.6571174615808	Chingford Wy	Wanneroo (C)	Single
491	148246	POINT (115.818568 -32.229416)	93.90919265440516	Menli Pl	Kwinana (C)	Single
497	151051	POINT (115.808954 -32.232148)	180.62787381889993	Brownell Cr	Kwinana (C)	Single
498	151103	POINT (115.820621 -32.228724)	119.01370776013289	Tintagel Loop	Kwinana (C)	Single
500	151398	POINT (115.872822 -32.183505)	226.76485779857592	Satinover Wy	Kwinana (C)	Single
502	152351	POINT (115.91633 -31.898269)	333.98202731361	Holmwood Wy	Bayswater (C)	Single
503	152545	POINT (115.892942 -31.88809)	345.79323387782586	Steven St	Bayswater (C)	Single
504	152867	POINT (115.830988 -32.270208)	45.69027719857411	Shipwright Av	Kwinana (C)	Single
505	153141	POINT (115.829398 -32.230429)	244.89543133476892	Corfe Mews	Kwinana (C)	Single
507	153462	POINT (115.935065 -31.92558)	228.08796319534557	Kenmure Av	Bayswater (C)	Single
509	153963	POINT (115.90818 -31.884846)	0.4391516929985073	Belfast St	Bayswater (C)	Single
510	154446	POINT (115.809765 -32.238931)	43.03380743120823	Heylmore Rd	Kwinana (C)	Single
511	154833	POINT (115.919885 -31.918997)	284.09022816894867	Whatley Cr	Bayswater (C)	Single
512	154877	POINT (115.929283 -31.901447)	273.3338506621389	Broadway	Bayswater (C)	Single
513	155087	POINT (115.919342 -31.891857)	89.48250380585768	Okewood Pl	Bayswater (C)	Single
514	155227	POINT (115.913824 -31.888839)	269.8209512718902	Fitzgerald Rd	Bayswater (C)	Single
515	155370	POINT (115.849571 -32.208941)	60.15406804841945	Hoffman Rd	Kwinana (C)	Single
520	156810	POINT (115.882755 -31.876405)	89.59556592065513	Callaghan Wy	Bayswater (C)	Single
521	156825	POINT (115.895721 -31.934308)	158.0543727457116	Peninsula Rd	Bayswater (C)	Single
522	156869	POINT (115.88951 -31.869161)	138.5256151999438	Smitherson St	Bayswater (C)	Single
524	157042	POINT (115.870033 -32.196666)	223.07909565855542	Casella Pl	Kwinana (C)	Single
525	157321	POINT (115.863913 -32.10093)	142.76516601677378	Glendale Cr	Cockburn (C)	Single
527	158278	POINT (115.818752 -32.130766)	292.9637730579707	Bittern L	Cockburn (C)	Single
531	161328	POINT (115.870732 -32.068313)	296.96957178210073	Amphion Pl	Melville (C)	Single
536	164140	POINT (116.087738 -32.344995)	108.35678273312328	Balmoral Rd	Serpentine - Jarrahdale	Single
537	164217	POINT (116.122022 -32.359289)	93.07333251154267	Balmoral Rd	Serpentine - Jarrahdale	Single
538	165063	POINT (116.015165 -32.216424)	178.81146139039186	Helen Cr	Serpentine - Jarrahdale	Single
539	165116	POINT (116.010368 -32.216467)	12.108295776892646	Edward Cr	Serpentine - Jarrahdale	Single
541	165537	POINT (115.867198 -32.068525)	104.33107334955207	Moss Cl	Melville (C)	Single
542	165677	POINT (115.701693 -31.669937)	242.74467162539457	Coonewarra Wy	Wanneroo (C)	Single
544	166405	POINT (116.009273 -32.213037)	96.34019174653054	Walters Rd	Serpentine - Jarrahdale	Single
546	166538	POINT (115.789422 -31.711928)	79.78312037025995	Innesvale Wy	Wanneroo (C)	Single
547	166784	POINT (115.978246 -32.204749)	325.0302133207833	Comic Court Cct	Serpentine - Jarrahdale	Single
549	167160	POINT (115.706113 -31.660579)	83.04704253140847	Adelong Cct	Wanneroo (C)	Single
550	167197	POINT (115.794838 -31.71429)	81.75928817175247	Terrigal Pass	Wanneroo (C)	Single
552	167850	POINT (115.971084 -32.004615)	324.18391924879586	Corry St	Canning (C)	Single
555	168175	POINT (115.864414 -32.067115)	0.416689232221529	Nolt Ct	Melville (C)	Single
556	169096	POINT (115.718844 -31.686926)	111.51976115426385	Belleville Gdns	Wanneroo (C)	Left
557	169421	POINT (115.785523 -31.705991)	70.04840930493299	Golf Links Dr	Wanneroo (C)	Single
558	169463	POINT (115.826892 -31.825641)	155.7460802772364	Capstone Wy	Wanneroo (C)	Single
559	169920	POINT (115.861594 -31.819303)	1.9289215286299282	Hookstone Dr	Wanneroo (C)	Single
560	169928	POINT (115.864847 -31.818857)	89.85299383247104	Hookstone Dr	Wanneroo (C)	Single
561	169936	POINT (115.697086 -31.621247)	342.50767547586895	Piazza Link	Wanneroo (C)	Single
563	170710	POINT (115.873408 -32.066934)	76.34521414073402	Winchester Wy	Melville (C)	Single
564	170763	POINT (115.859192 -32.068479)	350.4727166200967	Ela St	Melville (C)	Single
565	170850	POINT (115.871323 -31.854756)	97.35568475883139	Pampus Ct	Stirling (C)	Single
566	171276	POINT (115.719181 -31.694295)	200.3341130358261	McAllister Bvd	Wanneroo (C)	Single
569	171733	POINT (115.768232 -32.017988)	17.525568369621	Beagle Cl	Mosman Park (T)	Single
570	172450	POINT (115.837487 -31.871756)	90.07377134915356	Ungaroo Rd	Stirling (C)	Single
572	173408	POINT (115.995189 -31.939595)	310.53183322178523	Worrell Av	Kalamunda	Single
573	173967	POINT (115.997983 -31.944061)	198.6388475347561	Newburn Rd	Kalamunda	Single
576	174571	POINT (116.03444 -32.003345)	203.9624889780757	Ford Rd	Kalamunda	Single
577	174793	POINT (115.893939 -32.05635)	178.95725833812298	Portcullis Dr	Canning (C)	Single
578	175106	POINT (115.811051 -31.868162)	341.13100054334694	Felton St	Stirling (C)	Single
580	175763	POINT (115.719652 -31.674142)	278.2503872296033	Larsson Wk	Wanneroo (C)	Single
581	175796	POINT (115.812163 -31.75788)	275.44033203054806	Lalina Wy	Wanneroo (C)	Single
582	175955	POINT (115.863236 -31.868482)	193.96334811288105	Lively Cir	Stirling (C)	Single
583	177713	POINT (115.860691 -31.84132)	16.990823293063556	Meldrum Wy	Wanneroo (C)	Single
586	177987	POINT (115.764822 -31.92601)	24.82636610749762	Grasmere Av	Cambridge (T)	Single
587	178424	POINT (115.777804 -32.097692)	269.6291587092316	Norland Wy	Cockburn (C)	Single
588	178545	POINT (115.758547 -31.784)	287.7305280112257	Dromana Pl	Joondalup (C)	Single
589	179251	POINT (115.778545 -31.842209)	332.4530251045032	Jessel Pl	Joondalup (C)	Single
590	179362	POINT (115.777204 -31.827699)	87.7729530325613	Guron Rd	Joondalup (C)	Single
591	179723	POINT (115.815213 -31.829825)	2.121096396328369	Cockman Rd	Joondalup (C)	Single
592	179883	POINT (115.786688 -31.762539)	125.0165055725185	Quarry Rmbl	Joondalup (C)	Single
593	180182	POINT (115.785678 -31.795403)	97.31552530392088	The Return	Joondalup (C)	Single
594	180428	POINT (115.756266 -31.796644)	95.03508467921364	Oxley Av	Joondalup (C)	Single
595	180574	POINT (115.741327 -31.784444)	37.8306370823621	Balga Wy	Joondalup (C)	Single
596	181186	POINT (115.740142 -31.77837)	240.25511870251785	Korella St	Joondalup (C)	Single
598	181739	POINT (115.806776 -31.809865)	180.90938044689184	Lehmann Ct	Joondalup (C)	Single
599	183192	POINT (115.759414 -31.760995)	283.96489135067264	Channel Dr	Joondalup (C)	Single
600	183315	POINT (115.811835 -31.822353)	258.1517337614473	Blackall Dr	Joondalup (C)	Single
601	183389	POINT (115.764238 -31.74917)	284.58891873147945	Aston St	Joondalup (C)	Left
602	183412	POINT (115.75559 -31.834418)	92.5918667054139	Arbery Av	Joondalup (C)	Single
603	184315	POINT (115.788261 -31.809555)	88.89829388494411	Twickenham Dr	Joondalup (C)	Single
604	184407	POINT (115.74443 -31.814272)	346.3843542109848	Waterford Dr	Joondalup (C)	Single
605	184427	POINT (115.811877 -31.824852)	0.7761268782136312	Kendal Wy	Joondalup (C)	Single
606	185224	POINT (115.79134 -31.774284)	184.81153450320184	Chipala Ct	Joondalup (C)	Single
607	185272	POINT (115.753043 -31.836013)	359.1620958689817	Cliff St	Joondalup (C)	Single
608	185315	POINT (115.767506 -31.845107)	156.740779052687	Chessell Dr	Joondalup (C)	Right
609	185836	POINT (115.763022 -31.836583)	27.28798794241675	Keppell Rd	Joondalup (C)	Single
610	186240	POINT (115.772502 -31.805371)	218.91469297234397	Tietkins Wy	Joondalup (C)	Single
611	186341	POINT (115.763278 -31.801547)	200.44954761047313	Rowlands Ct	Joondalup (C)	Single
612	186760	POINT (115.755774 -31.824704)	270.58068058602896	Chandler Rd	Joondalup (C)	Single
613	186881	POINT (115.744558 -31.793867)	28.3332087666181	Castlecrag Dr	Joondalup (C)	Single
616	188797	POINT (115.806365 -31.806523)	336.70543675077624	Calbourne Wy	Joondalup (C)	Single
617	188810	POINT (115.764777 -31.804746)	106.977218152197	Hughes Ct	Joondalup (C)	Single
618	188828	POINT (115.767264 -31.771834)	11.30993247419417	Eddystone Av	Joondalup (C)	Right
619	188891	POINT (115.767635 -31.785225)	19.62020964094245	Eddystone Av	Joondalup (C)	Single
620	188953	POINT (115.80393 -31.787568)	236.87931278059426	Woodvale Dr	Joondalup (C)	Single
621	189135	POINT (115.746368 -31.759929)	125.75813280162754	Fortescue Loop	Joondalup (C)	Single
622	189439	POINT (115.776171 -31.808311)	193.15518697350518	Leviathan Wy	Joondalup (C)	Single
623	189638	POINT (115.750708 -31.804627)	148.74658072135395	Mawson Cr	Joondalup (C)	Single
624	190032	POINT (115.770716 -31.821331)	117.25532837317041	Hilarion Rd	Joondalup (C)	Single
625	190183	POINT (115.778886 -31.825126)	83.7365093856306	Foston Dr	Joondalup (C)	Single
626	190265	POINT (115.775393 -31.836829)	80.50110213172036	Kelso Ct	Joondalup (C)	Single
627	190966	POINT (115.845431 -32.14796)	353.8298249039416	Antina Wy	Cockburn (C)	Single
629	192336	POINT (116.005799 -31.993969)	68.02028472194047	Connaught St	Kalamunda	Single
630	193156	POINT (116.011994 -31.995173)	136.47510180151266	Cumberland Rd	Kalamunda	Single
634	193774	POINT (115.777933 -31.969355)	350.3401069203039	Lisle St	Nedlands (C)	Single
635	194514	POINT (115.943878 -31.903822)	359.1773975284654	Ida St	Bassendean (T)	Single
636	194638	POINT (115.941519 -31.905281)	0.61827578088878	Iolanthe St	Bassendean (T)	Single
637	194713	POINT (115.93949 -31.888469)	214.045937358235	Charlbury Wy	Bassendean (T)	Single
638	195054	POINT (115.796206 -31.850921)	80.29101245047445	Guinevere Wy	Stirling (C)	Single
639	195326	POINT (115.802719 -31.759055)	253.93011590893155	Ariti Av	Wanneroo (C)	Single
640	195438	POINT (115.705384 -31.68358)	212.18510589169114	Birkenhead Rdge	Wanneroo (C)	Single
641	195489	POINT (115.812984 -31.7663)	287.9691397397534	Cadoux Loop	Wanneroo (C)	Single
642	195682	POINT (115.798034 -31.721681)	273.96967758428866	Galileo Av	Wanneroo (C)	Single
645	196667	POINT (115.770781 -32.078426)	96.35112814179888	Ommanney St	Cockburn (C)	Single
646	196938	POINT (115.755697 -31.945344)	352.1573692332102	Challenger Pde	Cambridge (T)	Single
647	197113	POINT (115.745184 -31.788957)	145.73266455709228	Clyo Wy	Joondalup (C)	Single
648	197477	POINT (115.756572 -31.810693)	326.3099324729403	Hume Pl	Joondalup (C)	Single
650	198772	POINT (115.796032 -32.052734)	313.86718024161144	Lucas St	Melville (C)	Single
651	198847	POINT (115.817098 -32.049311)	359.5028690519121	Northmore Cr	Melville (C)	Single
652	199097	POINT (115.809529 -31.877955)	21.43797776365318	Kookaburra St	Stirling (C)	Single
653	200286	POINT (115.950505 -32.006491)	129.88063102354283	Spoonbill Pl	Canning (C)	Single
654	201003	POINT (115.818471 -31.896055)	278.58362148023207	Messina Av	Stirling (C)	Single
655	201212	POINT (115.774771 -31.87363)	106.96614811105053	Porlock Wy	Stirling (C)	Single
656	201417	POINT (115.79839 -31.861798)	284.2645123007713	Agnew Loop	Stirling (C)	Single
658	202174	POINT (115.902038 -32.032854)	50.6175805890432	Picton Mews	Canning (C)	Single
659	202736	POINT (115.842185 -31.805774)	65.95577673432882	Tyrone L	Wanneroo (C)	Single
660	203122	POINT (115.800327 -31.727872)	180.3485631795089	Lopez Cr	Wanneroo (C)	Single
661	203311	POINT (115.821867 -31.824485)	354.93638314690116	Westgate Wy	Wanneroo (C)	Single
663	204339	POINT (115.91536 -32.044311)	136.660282370777	Zelkova Wy	Canning (C)	Single
664	204361	POINT (115.929725 -32.031346)	354.80557108725975	Estevan Wy	Canning (C)	Single
665	204854	POINT (115.87444 -31.952692)	288.3311313372361	Royal St	Perth (C)	Single
666	205009	POINT (115.650288 -31.545996)	300.18653588137073	Moorpark Av	Wanneroo (C)	Single
667	205028	POINT (115.64791 -31.54134)	1.9414863906028472	Moorpark Av	Wanneroo (C)	Single
668	205199	POINT (115.866066 -32.055036)	291.80140948752165	Sellars Wy	Melville (C)	Single
672	206369	POINT (115.801991 -31.937954)	65.90984684398029	Bournville St	Cambridge (T)	Single
673	207897	POINT (115.841812 -31.921989)	90.12923838120162	Hobart St	Vincent (C)	Single
674	208233	POINT (115.837484 -31.9252)	180.17918871859766	Seabrook St	Vincent (C)	Single
679	209774	POINT (115.751418 -32.064392)	359.6175238420583	Coral St	Fremantle (C)	Single
680	210131	POINT (115.745848 -32.053138)	333.88745772186576	Market St	Fremantle (C)	Single
682	210537	POINT (115.755141 -32.080009)	319.3987053577324	Shoalwater St	Cockburn (C)	Single
683	210626	POINT (115.933005 -31.933732)	76.21159359229415	Matheson Rd	Belmont (C)	Single
684	210791	POINT (115.863219 -31.941854)	88.04749095086294	Ruth St	Vincent (C)	Single
685	210967	POINT (115.874872 -31.941891)	324.67335543205866	Chapman St	Vincent (C)	Single
686	211265	POINT (115.755884 -32.082077)	336.80140948527196	Lancelin Wy	Cockburn (C)	Single
687	212184	POINT (115.715887 -31.600061)	358.07481629311263	Emerald Dr	Wanneroo (C)	Single
688	212195	POINT (115.715027 -31.594861)	25.58725073007821	Emerald Dr	Wanneroo (C)	Single
689	212233	POINT (115.89688 -31.985861)	137.5246337562342	Berwick St	Victoria Park (T)	Single
690	212330	POINT (115.858943 -32.108769)	160.34617594027202	Prinsep Rd	Cockburn (C)	Single
691	212366	POINT (115.86452 -32.126221)	32.29061186328124	Solomon Rd	Cockburn (C)	Single
692	212602	POINT (116.130944 -32.035446)	69.83706758177141	Pickering Brook Rd	Kalamunda	Single
693	213825	POINT (115.956574 -31.882076)	359.60756928886394	Lord St	Swan (C)	Single
694	213916	POINT (116.062171 -31.973884)	82.15432002842573	Mundaring Weir Rd	Kalamunda	Single
695	214681	POINT (115.865294 -31.919897)	44.89667138411539	Alexander Dr	Stirling (C)	Right
696	215422	POINT (115.879062 -31.962115)	104.03624346792651	Albany Hwy	Perth (C)	Left
697	215579	POINT (115.712328 -31.693845)	275.9610897822733	Anchorage Dr	Wanneroo (C)	Left
698	215706	POINT (115.809706 -31.964407)	90.3393111403621	Aberdare Rd	Subiaco (C)	Single
699	215837	POINT (115.943602 -32.012526)	139.0328852260036	Sevenoaks St	Canning (C)	Left
700	215894	POINT (115.806591 -31.958453)	30.613932652745575	Railway Rd	Subiaco (C)	Single
701	216630	POINT (115.980637 -32.003857)	28.73536851329908	Hale Rd	Kalamunda	Single
702	216701	POINT (115.877245 -32.143704)	152.63922527106206	Harper Rd	Cockburn (C)	Single
703	216746	POINT (115.791306 -32.084911)	126.33939632976353	Forrest Rd	Cockburn (C)	Single
704	217123	POINT (115.902251 -31.89891)	312.44710185164143	Collier Rd	Bayswater (C)	Left
705	217394	POINT (115.848297 -32.240174)	330.7263146964534	Johnson Rd	Kwinana (C)	Single
706	217519	POINT (115.847803 -31.973027)	292.9887167993877	Mill Point Rd on to Kwinana Fwy (Northbound)	South Perth (C)	Single
707	217677	POINT (115.858899 -31.779941)	55.11856986832896	Lakelands Dr	Wanneroo (C)	Single
708	217954	POINT (115.791434 -32.075182)	156.59219264991702	Melville Mandurah Hwy	Cockburn (C)	Right
709	218328	POINT (115.892738 -31.948343)	120.55019062406132	Graham Farmer Fwy (Eastbound) off to Belmont Park & Victoria Park Dr	Victoria Park (T)	Single
710	218419	POINT (115.642991 -31.463309)	244.47030200871927	Countryside Dr	Wanneroo (C)	Single
712	218719	POINT (115.906043 -31.898941)	44.15213281208531	Broun Av	Bayswater (C)	Left
713	219409	POINT (115.708655 -31.589061)	232.76516601543187	Bernard Rd	Wanneroo (C)	Single
714	219683	POINT (115.889696 -32.063888)	271.84761026650244	Burrendah Bvd	Canning (C)	Left
716	220610	POINT (115.965377 -31.91131)	36.23824516354131	Great Eastern Hwy	Swan (C)	Single
717	220705	POINT (116.16196 -31.901631)	90.14252652087185	Great Eastern Hwy	Mundaring	Left
718	221344	POINT (115.889698 -31.968639)	0.0	Bus Lane : Causeway (Northbound)	Victoria Park (T)	Single
719	221386	POINT (115.868486 -31.977631)	263.82755729187215	Mill Point Rd	South Perth (C)	Single
720	221440	POINT (115.828361 -31.874911)	0.9726702083503369	Main St	Stirling (C)	Single
721	221589	POINT (115.880108 -31.98881)	270.3682873580424	South Tce	South Perth (C)	Single
722	221826	POINT (115.837833 -31.93705)	144.1196774628661	Southport St	Cambridge (T)	Right
723	221941	POINT (115.85642 -32.150077)	166.61440618337463	Wentworth Pde	Cockburn (C)	Single
724	222006	POINT (115.856674 -32.142277)	178.86313202693555	Wentworth Pde	Cockburn (C)	Right
725	222029	POINT (115.81711 -32.098641)	244.24388863272935	Discovery Dr	Cockburn (C)	Single
726	222114	POINT (115.860724 -32.180538)	89.59991274576646	Rowley Rd	Cockburn (C)	Single
727	222374	POINT (115.861295 -32.123048)	213.96536044449041	Verde Dr	Cockburn (C)	Left
729	223030	POINT (115.903497 -31.899905)	45.87068949931802	Crimea St	Bayswater (C)	Single
730	223046	POINT (115.905021 -31.888993)	359.40699161007285	Crimea St	Bayswater (C)	Left
731	223102	POINT (116.018517 -31.951941)	273.8310513613152	Maida Vale Rd	Kalamunda	Single
732	223199	POINT (115.742045 -32.040872)	47.337305857346394	Port Beach Rd	Fremantle (C)	Left
734	223908	POINT (116.034519 -32.119636)	84.48307170630096	Buckingham Rd	Armadale (C)	Single
735	223950	POINT (116.056741 -32.11715)	156.41641004387338	Urch Rd	Armadale (C)	Single
737	224517	POINT (116.094772 -32.126305)	131.5966655163072	Croyden Rd	Armadale (C)	Single
738	225094	POINT (115.757451 -32.037591)	131.5601303063953	Stirling Hwy	Fremantle (C)	Single
739	225125	POINT (115.764563 -32.050261)	135.84252426157667	Stirling Hwy	Fremantle (C)	Left
740	225394	POINT (115.820397 -31.946329)	55.97941534724288	Roberts Rd	Subiaco (C)	Right
741	225787	POINT (115.860037 -32.014292)	276.1551683428872	Manning Rd	South Perth (C)	Left
742	225858	POINT (115.72313 -31.649632)	169.77783136556923	Lukin Dr	Wanneroo (C)	Left
743	226066	POINT (115.799559 -31.738877)	48.066485501562795	Pinjar Rd	Wanneroo (C)	Left
744	226070	POINT (115.800187 -31.738428)	50.19442890995947	Pinjar Rd	Wanneroo (C)	Left
745	226813	POINT (115.975801 -32.061501)	237.84954409163453	Burslem Dr	Gosnells (C)	Left
746	226905	POINT (115.929061 -32.07692)	331.12259877873765	Amherst Rd	Gosnells (C)	Single
747	227450	POINT (115.889663 -32.052889)	22.413765911288408	Vahland Av	Canning (C)	Right
748	227826	POINT (115.751671 -32.32627)	94.0175210430566	Safety Bay Rd	Rockingham (C)	Single
749	228056	POINT (115.738709 -32.277592)	65.27647059493239	Patterson Rd	Rockingham (C)	Right
750	228259	POINT (115.73116 -32.368539)	276.91486772011564	Port Kennedy Dr	Rockingham (C)	Single
